Tropheops gracilior
Tropheops "mauve"
Tropheops microstoma
Tropheops "olive"
Tropheops "orange head"
Tropheops "red cheek"
Tropheops "red fin"
Tropheops "rust"
Tropheops sp.
Tropheops tropheops
Tropheops "white dorsal"
Tropheops "yellow gular"
Tyrannochromis macrostoma
Tyrannochromis nigriventer
