primary_id	species
cichl187580041	Astatotilapia_calliptera
cichl187580042	Astatotilapia_calliptera
cichl187580043	Astatotilapia_calliptera
cichl187580044	Astatotilapia_calliptera
cichl187580045	Astatotilapia_calliptera
cichl187580046	Astatotilapia_calliptera
cichl187580049	Astatotilapia_calliptera
cichl187580050	Astatotilapia_calliptera
cichl187580051	Astatotilapia_calliptera
cichl187580052	Astatotilapia_calliptera
cichl187580053	Astatotilapia_calliptera
cichl187580054	Astatotilapia_calliptera
cichl187580055	Astatotilapia_calliptera
cichl187580056	Astatotilapia_calliptera
cichl187580057	Astatotilapia_calliptera
cichl187580058	Astatotilapia_calliptera
cichl187580059	Astatotilapia_calliptera
cichl187580060	Astatotilapia_calliptera
cichl187580061	Astatotilapia_calliptera
cichl187580062	Astatotilapia_calliptera
cichl187580063	Astatotilapia_calliptera
cichl187580064	Astatotilapia_calliptera
cichl187580065	Astatotilapia_calliptera
cichl187580066	Astatotilapia_calliptera
cichl187580067	Astatotilapia_calliptera
cichl187580068	Astatotilapia_calliptera
cichl187580069	Astatotilapia_calliptera
cichl187580070	Astatotilapia_calliptera
cichl187580071	Astatotilapia_calliptera
cichl187580072	Astatotilapia_calliptera
cichl187580073	Astatotilapia_calliptera
cichl187580074	Astatotilapia_calliptera
cichl187580075	Astatotilapia_calliptera
cichl187580076	Astatotilapia_calliptera
cichl187580077	Astatotilapia_calliptera
cichl187580078	Astatotilapia_calliptera
cichl187580079	Astatotilapia_calliptera
cichl187580080	Astatotilapia_calliptera
cichl187580081	Astatotilapia_calliptera
cichl187580082	Astatotilapia_calliptera
cichl187580083	Astatotilapia_calliptera
cichl187580084	Astatotilapia_calliptera
cichl187580085	Astatotilapia_calliptera
cichl187580086	Astatotilapia_calliptera
cichl187580087	Astatotilapia_calliptera
cichl187580088	Astatotilapia_calliptera
cichl187580089	Astatotilapia_calliptera
cichl187580090	Astatotilapia_calliptera
cichl187580091	Astatotilapia_calliptera
cichl187580092	Astatotilapia_calliptera
cichl187580093	Astatotilapia_calliptera
cichl187580094	Astatotilapia_calliptera
cichl187580095	Astatotilapia_calliptera
cichl187580096	Astatotilapia_calliptera
cichl187580097	Astatotilapia_calliptera
cichl187580098	Astatotilapia_calliptera
cichl187580099	Astatotilapia_calliptera
cichl187580100	Astatotilapia_calliptera
cichl187580101	Astatotilapia_calliptera
cichl187580102	Astatotilapia_calliptera
cichl187580103	Astatotilapia_calliptera
cichl187580104	Astatotilapia_calliptera
cichl187580105	Astatotilapia_calliptera
cichl187580106	Astatotilapia_calliptera
